iter	Accuracy	MultiClass
0	0.1567680283	2.924069215
1	0.1972426382	2.863816719
2	0.2061469113	2.788000437
3	0.2049621111	2.762146839
4	0.2157149826	2.72212803
5	0.2278060648	2.67205963
6	0.2562450008	2.610688546
7	0.2583812516	2.597228881
8	0.2588523381	2.594873221
9	0.2692562288	2.559017204
10	0.2751631834	2.520961213
11	0.2792015487	2.50645495
12	0.2831152636	2.481340584
13	0.2904453236	2.456905807
14	0.3001028718	2.42766298
15	0.3031146658	2.412321945
16	0.3058828669	2.401481489
17	0.3094368062	2.383835038
18	0.3163661534	2.349406586
19	0.3200813735	2.327672868
20	0.3231148346	2.304120681
21	0.3239456104	2.293603499
22	0.3282637433	2.271028859
23	0.3362803215	2.255389475
24	0.335427441	2.248256816
25	0.3421934244	2.237795503
26	0.3461706604	2.218212182
27	0.347515626	2.203839616
28	0.3469443145	2.189157418
29	0.349314961	2.182560587
30	0.3530825854	2.163153115
31	0.3530761196	2.163152066
32	0.3578538852	2.142653752
33	0.3646634561	2.131156279
34	0.3687510024	2.120298731
35	0.3711968525	2.102628943
36	0.3736307575	2.09848229
37	0.3736589236	2.09223352
38	0.3735659726	2.087583679
39	0.3747511259	2.086099262
40	0.3741863836	2.081699731
41	0.3749096762	2.075401881
42	0.3749237469	2.072311244
43	0.3729121828	2.061272291
44	0.3765286884	2.053090953
45	0.3765403688	2.053090512
46	0.3778660046	2.04687785
47	0.3802353828	2.034761513
48	0.3852541731	2.020785049
49	0.3850864134	2.0185446
50	0.3891644843	2.011096568
51	0.389311262	2.001158222
52	0.3924749958	1.990900806
53	0.3988484737	1.984549949
54	0.3999238266	1.981578802
55	0.4004208178	1.976530487
56	0.3986086277	1.971158946
57	0.401290072	1.96657534
58	0.4019958753	1.964360155
59	0.4078826906	1.955933138
60	0.4106429334	1.94917946
61	0.4115063054	1.947190081
62	0.4213037321	1.935741048
63	0.4207773016	1.931941194
64	0.422622665	1.924837658
65	0.4233873843	1.917938692
66	0.4249637716	1.91355623
67	0.424968679	1.913555683
68	0.4275062898	1.909461726
69	0.4277461715	1.906496214
70	0.4317849299	1.892440233
71	0.4343305794	1.883438747
72	0.4343195621	1.883282393
73	0.4364410077	1.878543
74	0.4371348215	1.877831602
75	0.4382568041	1.871326773
