iter	Passed	Remaining
0	11089	5533502
1	18486	4603129
2	29155	4830092
3	32394	4016908
4	41031	4062088
5	50485	4156631
6	60427	4255857
7	62468	3841801
8	64369	3511740
9	70739	3466218
10	79857	3550017
11	86107	3501712
12	94110	3525539
13	104262	3619410
14	111613	3608837
15	122357	3701311
16	130652	3712070
17	138760	3715704
18	147692	3738956
19	154988	3719719
20	162897	3715618
21	170673	3708267
22	178801	3708192
23	187766	3724040
24	196456	3732678
25	206668	3767719
26	217583	3811743
27	226246	3813875
28	233543	3793061
29	241511	3783687
30	252331	3817535
31	253145	3702251
32	260483	3686241
33	268615	3681616
34	279873	3718322
35	287166	3701260
36	293074	3667386
37	301070	3660381
38	311930	3687175
39	315006	3622579
40	322964	3615621
41	331610	3616133
42	338476	3597296
43	349003	3616946
44	357354	3613248
45	358187	3535151
46	366453	3531984
47	377336	3553249
48	385566	3548787
49	388796	3499172
50	397266	3497502
51	404842	3487874
52	413298	3485743
53	423055	3494122
54	430863	3486075
55	440055	3489012
56	448627	3486701
57	456402	3478100
58	461093	3446476
59	470224	3448316
60	477739	3438156
61	483580	3416260
62	493358	3422187
63	502388	3422518
64	510809	3418491
65	518916	3412270
66	529529	3422186
67	530332	3369172
68	540762	3377805
69	546413	3356537
70	554494	3350395
71	564453	3355364
72	566342	3312715
73	574113	3305031
74	578893	3280394
75	587381	3276968
76	593728	3261653
77	595570	3222187
78	603949	3218514
79	611674	3211288
80	621179	3213262
81	629537	3209103
82	637456	3202641
83	644209	3190371
84	646065	3154321
85	654035	3148494
86	654840	3108611
87	663174	3104862
88	670738	3097453
89	679065	3093518
90	682179	3066060
91	690430	3061908
92	698944	3058820
93	707712	3056716
94	715419	3049947
95	723123	3043146
96	732158	3041853
97	740369	3037026
98	747794	3028947
99	757409	3029637
100	765384	3023646
101	773143	3016775
102	782559	3016271
103	791042	3012046
104	797937	3001766
105	806103	2996271
106	815686	2995933
107	825774	2997257
108	827642	2968881
109	835742	2963088
110	843990	2957767
111	847169	2934837
112	855935	2931390
113	865324	2929959
114	869913	2912318
115	878359	2907672
116	884458	2895277
117	892753	2890098
118	898274	2875986
119	906427	2870354
120	914197	2863477
121	922761	2859047
122	933092	2859966
123	941687	2855439
124	950144	2850434
125	957641	2842524
126	965969	2837060
127	973846	2830242
128	982383	2825304
129	991609	2822271
130	1000454	2818075
131	1001293	2791484
132	1009047	2784364
133	1016999	2777774
134	1017828	2751907
135	1026399	2747127
136	1037036	2747767
137	1044948	2741097
138	1052966	2734682
139	1062170	2731294
140	1064242	2709667
141	1072738	2704510
142	1082687	2702933
143	1091146	2697557
144	1100102	2693353
145	1110774	2693248
146	1121541	2693225
147	1130170	2687974
148	1140739	2687245
149	1150545	2684606
150	1158031	2676510
151	1167356	2672631
152	1175211	2665350
153	1183880	2659887
154	1194520	2658772
155	1203645	2654192
156	1211174	2646069
157	1219287	2639217
158	1227807	2633221
159	1236138	2626794
160	1245183	2621845
161	1253513	2615356
162	1263587	2612446
163	1273479	2609080
164	1284309	2607536
165	1294929	2605459
166	1302518	2597236
167	1312498	2593746
168	1322905	2591017
169	1331559	2584792
170	1340583	2579251
171	1349115	2572731
172	1357519	2565947
173	1364795	2557031
174	1374488	2552621
175	1384438	2548625
176	1393888	2543649
177	1403086	2538167
178	1413137	2534173
179	1422335	2528596
180	1429715	2519774
181	1438557	2513524
182	1447705	2507774
183	1457931	2503838
184	1467305	2498384
185	1475578	2491030
186	1485917	2487123
187	1493827	2479118
188	1502689	2472680
189	1511421	2466002
190	1522099	2462454
191	1532148	2457820
192	1541865	2452605
193	1551210	2446755
194	1561371	2442145
195	1570288	2435549
196	1578416	2427717
197	1587796	2421789
198	1597873	2416883
199	1606044	2409066
200	1615359	2402947
201	1623399	2394916
202	1631583	2387095
203	1639350	2378665
204	1647624	2370971
205	1655780	2363104
206	1664498	2356029
